,TestName,TotalNumberOfProperties,SizeMinimalSet,time
0,DES-PT-60b-CTLCardinality-00,144,87,66.215
1,RobotManipulation-PT-10000-CTLCardinality-00,192,111,130.7986
2,UtilityControlRoom-PT-Z4T4N10-CTLCardinality-00,176,102,106.1399
3,CSRepetitions-PT-03-CTLCardinality-00,160,94,73.3212
4,BridgeAndVehicles-COL-V04P05N02-CTLCardinality-00,112,67,29.1865
5,RERS17pb115-PT-9-CTLCardinality-00,128,78,44.4003
6,BusinessProcesses-PT-20-CTLCardinality-00,208,116,162.9443
7,DiscoveryGPU-PT-15b-CTLCardinality-00,224,126,176.7034
8,VehicularWifi-COL-none-CTLCardinality-00,240,133,227.5203
9,CloudDeployment-PT-7b-CTLCardinality-00,352,181,589.2792
10,AirplaneLD-COL-0010-CTLCardinality-00,256,138,244.4772
11,Railroad-PT-100-CTLCardinality-00,32,22,1.2007
12,CloudOpsManagement-PT-20480by10240-CTLCardinality-00,48,32,4.4791
13,BART-PT-060-CTLCardinality-00,16,14,0.6791
14,Parking-PT-864-CTLCardinality-00,96,63,26.1458
15,GlobalResAllocation-PT-05-CTLCardinality-00,64,44,10.6807
16,HealthRecord-PT-17-CTLCardinality-00,80,55,22.4919
17,SimpleLoadBal-PT-10-CTLCardinality-00,368,184,736.5909

